SAT   BLOCK          RMS_7p  RMS_ecom       AM_7p     AM_ecom
G02   BLOCKIIR-B     0.1305    0.0397    0.019721    0.019705
G03   BLOCKIIF       0.0856    0.0364    0.020661    0.020663
G04   BLOCKIIIA      0.2626    0.0270    0.014348    0.014245
G05   BLOCKIIR-M     0.1870    0.0439    0.019009    0.018970
G06   BLOCKIIF       0.1045    0.0332    0.020515    0.020563
G07   BLOCKIIR-M     0.2700    0.0261    0.018044    0.018558
G08   BLOCKIIF       0.1437    0.0395    0.020600    0.020647
G09   BLOCKIIF       0.1003    0.0334    0.020684    0.020649
G10   BLOCKIIF       0.0768    0.0394    0.020571    0.020587
G11   BLOCKIIIA      0.3303    0.0251    0.015308    0.015460
G12   BLOCKIIR-M     0.4895    0.0417    0.018914    0.019105
G13   BLOCKIIR-A     0.2965    0.0389    0.019457    0.019475
G14   BLOCKIIIA      0.3745    0.0270    0.015182    0.015077
G15   BLOCKIIR-M     0.2946    0.0432    0.019142    0.019097
G16   BLOCKIIR-A     0.0674    0.0364    0.019522    0.019561
G17   BLOCKIIR-M     0.1024    0.0442    0.019140    0.019115
G18   BLOCKIIIA      0.2828    0.0363    0.017080    0.016938
G19   BLOCKIIR-B     0.0742    0.0403    0.019600    0.019595
G20   BLOCKIIR-A     0.3381    0.0389    0.019728    0.019578
G21   BLOCKIIR-A     0.1557    0.0313    0.019414    0.019429
G22   BLOCKIIR-A     0.1547    0.0313    0.019524    0.019468
G23   BLOCKIIIA      0.1780    0.0336    0.015179    0.015085
G24   BLOCKIIF       0.1403    0.0288    0.020504    0.020808
G25   BLOCKIIF       0.0775    0.0305    0.020638    0.020718
G26   BLOCKIIF       0.0851    0.0255    0.020582    0.020675
G27   BLOCKIIF       0.1075    0.0376    0.020560    0.020511
G29   BLOCKIIR-M     0.0771    0.0408    0.019045    0.019049
G30   BLOCKIIF       0.0874    0.0237    0.020579    0.020778
G31   BLOCKIIR-M     0.4211    0.0236    0.018928    0.018607
G32   BLOCKIIF       0.1078    0.0375    0.020580    0.020598
