SAT        RMS_m    WORST_m     SCALE        A/m CONV
E01       0.3042     1.2457    2.0710     0.0207 yes
E02       0.4123     1.3952    2.1167     0.0212 yes
E03       0.2187     0.5512    2.1469     0.0215 yes
E04       0.3579     1.0097    2.1272     0.0213 yes
E05       0.2634     0.8246    2.1094     0.0211 yes
E07       0.2134     0.7187    2.1361     0.0214 yes
E08       0.2412     0.6608    2.1369     0.0214 yes
E09       0.3569     1.0014    2.1352     0.0214 yes
E10       0.4210     1.0303    2.0835     0.0208 yes
E11       0.1812     0.2691    2.1669     0.0217 yes
E12       0.1963     0.5484    2.1535     0.0215 yes
E13       0.4072     1.1131    2.0904     0.0209 yes
E14       0.5436     1.1973    2.2754     0.0228 yes
E15       0.3789     1.3398    2.0712     0.0207 yes
E18       0.3465     0.8929    2.2644     0.0226 yes
E19       0.1530     0.3341    2.1626     0.0216 yes
E21       0.4343     1.4403    2.0482     0.0205 yes
E24       0.5356     1.9393    2.0720     0.0207 yes
E25       0.5507     1.5250    2.0707     0.0207 yes
E26       0.3009     0.9813    2.1440     0.0214 yes
E27       0.4414     1.4206    2.0751     0.0208 yes
E30       0.3294     0.9355    2.1205     0.0212 yes
E31       0.2558     1.0565    2.0316     0.0203 yes
E33       0.2937     0.8155    2.1044     0.0210 yes
E34       0.2367     0.8600    2.0599     0.0206 yes
E36       0.2520     0.9932    2.0719     0.0207 yes
