SAT        RMS_m    WORST_m     SCALE        A/m ITER
G01       0.0645     0.1051    2.0638     0.0206 (3 iterations)
G02       0.1305     0.3236    1.9721     0.0197 (3 iterations)
G03       0.0856     0.1708    2.0661     0.0207 (3 iterations)
G04       0.2626     0.8922    1.4348     0.0143 (3 iterations)
G05       0.1870     0.5098    1.9009     0.0190 (3 iterations)
G06       0.1045     0.3793    2.0515     0.0205 (3 iterations)
G07       0.2700     0.7514    1.8044     0.0180 (3 iterations)
G08       0.1437     0.2276    2.0600     0.0206 (3 iterations)
G09       0.1003     0.3423    2.0684     0.0207 (3 iterations)
G10       0.0768     0.1853    2.0571     0.0206 (3 iterations)
G11       0.3303     1.0732    1.5308     0.0153 (3 iterations)
G12       0.4895     1.3329    1.8914     0.0189 (3 iterations)
G13       0.2965     0.5697    1.9457     0.0195 (3 iterations)
G14       0.3745     1.2960    1.5182     0.0152 (3 iterations)
G15       0.2946     0.6708    1.9142     0.0191 (3 iterations)
G16       0.0674     0.1629    1.9522     0.0195 (3 iterations)
G17       0.1024     0.2816    1.9140     0.0191 (3 iterations)
G18       0.2828     1.0251    1.7080     0.0171 (3 iterations)
G19       0.0742     0.2162    1.9600     0.0196 (3 iterations)
G20       0.3381     1.1149    1.9728     0.0197 (3 iterations)
G21       0.1557     0.2704    1.9414     0.0194 (3 iterations)
G22       0.1547     0.5183    1.9524     0.0195 (3 iterations)
G23       0.1780     0.6292    1.5179     0.0152 (3 iterations)
G24       0.1403     0.3402    2.0504     0.0205 (3 iterations)
G25       0.0775     0.1399    2.0638     0.0206 (3 iterations)
G26       0.0851     0.2876    2.0582     0.0206 (3 iterations)
G27       0.1075     0.2311    2.0560     0.0206 (3 iterations)
G29       0.0771     0.2158    1.9045     0.0190 (3 iterations)
G30       0.0874     0.1780    2.0579     0.0206 (3 iterations)
G31       0.4211     1.3857    1.8928     0.0189 (3 iterations)
G32       0.1078     0.2569    2.0580     0.0206 (3 iterations)
